"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2008.06",261.5,375.9,143.3,557.7,636.8,498.9,774.8,504.7,495.9,169.3,169.1,282.7,126.4,164.7,173.6,-,325.4,118.8,125.4,141.8,113.3,99.0,111.0,146.0,147.9
"2008.07",237.2,370.6,140.7,558.7,634.2,492.1,764.7,494.5,494.9,164.1,168.8,287.9,124.5,162.8,170.3,-,318.8,117.7,125.3,143.7,115.4,96.0,110.1,145.8,138.9
"2008.08",221.1,367.3,140.3,566.5,672.0,483.5,785.7,479.7,492.4,165.0,167.4,289.5,124.2,159.0,171.2,-,314.9,115.8,120.5,146.9,120.2,96.8,111.7,144.6,125.2
"2008.09",204.8,363.4,138.8,573.6,588.9,482.7,782.4,478.2,505.7,162.2,163.9,292.2,124.8,158.9,165.8,-,311.0,115.0,119.0,148.8,108.5,95.4,105.8,146.5,139.4
"2008.10",187.4,353.7,135.0,557.9,572.0,469.4,772.6,462.1,487.2,157.4,164.5,280.7,125.1,156.6,158.6,-,300.4,106.3,114.1,138.3,110.3,96.3,106.1,143.1,128.9
"2008.11",206.0,384.3,135.1,618.2,651.9,458.5,825.9,467.3,523.4,157.4,161.6,295.9,122.6,160.1,166.3,-,317.7,104.8,119.1,135.8,112.2,103.8,105.8,140.7,128.8
"2008.12",222.6,407.8,136.1,627.4,610.2,441.0,792.7,474.5,524.0,160.6,165.5,296.4,124.7,165.5,176.9,-,317.8,98.6,114.2,131.0,115.0,93.5,106.1,144.1,130.7
"2009.01",289.2,449.2,143.5,662.2,694.4,455.8,826.1,467.4,584.9,167.6,164.4,290.0,128.9,167.9,172.2,-,350.7,115.4,126.4,147.1,121.5,98.0,110.3,154.8,126.3
"2009.02",267.5,423.9,143.7,624.2,664.8,460.2,836.0,473.7,548.2,167.9,163.5,283.2,127.1,170.0,178.1,-,346.5,111.0,124.8,145.2,118.8,99.9,113.7,152.4,134.1
"2009.03",261.2,421.6,143.6,642.0,646.5,458.9,863.5,492.7,533.1,171.5,161.6,278.9,125.1,167.8,168.3,-,331.0,112.7,124.5,138.9,114.5,103.1,112.6,150.7,150.1
"2009.04",302.4,436.0,150.5,637.4,681.4,475.8,847.7,519.8,557.0,177.6,169.4,281.0,126.7,179.0,182.2,-,352.6,115.2,122.9,150.4,118.4,103.8,114.6,155.8,141.4
"2009.05",284.0,416.5,152.1,621.3,662.8,472.9,868.0,516.1,542.2,179.0,169.0,281.7,129.3,180.1,184.0,-,335.4,115.5,128.2,142.7,120.7,101.4,118.8,160.0,157.8
"2009.06",311.8,458.3,153.3,655.7,697.2,482.9,929.0,519.9,554.8,182.1,174.7,288.7,130.9,182.1,180.1,-,346.4,116.7,128.4,148.1,121.4,101.0,116.5,156.7,148.7
"2009.07",296.7,439.3,155.3,635.9,705.9,483.2,895.3,541.0,550.5,188.9,173.4,289.2,133.7,182.8,182.1,-,342.5,114.1,132.2,148.0,124.4,104.1,118.3,160.2,154.4
"2009.08",308.6,448.7,160.4,650.0,732.9,497.0,918.3,540.2,560.7,193.5,176.5,290.9,130.2,186.5,189.4,-,349.1,122.9,134.9,150.4,125.7,104.6,123.0,165.4,155.5
"2009.09",273.6,415.4,159.1,614.5,752.7,497.2,879.2,520.5,536.4,191.8,176.7,292.1,131.3,184.6,185.5,-,332.0,121.6,133.7,146.9,129.2,107.9,124.1,164.4,149.3
"2009.10",235.7,391.1,157.7,588.7,699.9,485.5,846.2,528.9,510.2,191.1,175.9,283.4,130.3,186.4,183.1,-,318.1,122.1,131.7,148.1,130.2,109.4,123.6,161.0,154.4
"2009.11",231.8,399.1,158.6,607.2,703.3,484.8,869.0,515.7,527.8,193.7,174.7,279.4,131.3,187.8,187.3,-,316.1,119.5,136.7,147.2,132.2,111.6,123.9,164.8,160.2
"2009.12",250.2,433.2,159.1,658.9,773.4,483.2,934.8,505.1,549.6,195.4,175.9,279.4,133.6,194.0,184.7,-,324.0,121.1,133.5,152.3,131.3,108.2,123.2,165.9,150.4
"2010.01",266.6,456.5,165.2,681.5,747.9,493.2,966.8,520.9,562.3,202.6,175.8,288.1,135.7,198.3,191.4,-,341.2,127.3,142.6,153.0,135.9,114.5,123.8,173.9,158.8
"2010.02",244.0,410.7,161.5,619.0,730.9,491.7,877.5,493.1,532.3,202.8,170.4,286.7,135.5,193.5,191.1,-,322.0,123.6,135.6,150.6,138.8,113.7,121.4,170.0,144.2
"2010.03",229.6,384.0,160.6,586.2,716.0,479.2,839.3,495.1,507.0,198.4,170.7,279.1,133.8,189.5,190.7,-,308.2,121.4,133.8,148.3,136.2,111.0,119.0,170.5,154.9
