회사명,title,날짜,지역
(주)희림종합건축사사무소,건축설계/전문연구요원/CM PJT현장 채용,~ 05/14(일),서울
(주)엔디소프트,[NDSOFT] 2023년도 상반기 부문별 채용,~ 05/29(월),서울
(주)엔디소프트,[NDSOFT] 23년도 상반기 부문별 채용,~ 05/29(월),부산
벡코씨알오(주),2023년도 상반기 Software Engineer(경력/신입) 인재 채용,~ 05/07(일),서울
위쉬정보기술㈜,신입/경력 사원모집 (개발/운영/기획/디자인/퍼블리셔),~ 04/28(금),서울
(재)경기도일자리재단,[경기도]청년·대학생 현장실습  / 중장년 직업훈련·취업지원,~ 04/26(수),경기
제노시스바이오연구소주식회사,본사 경영지원  재무회계 경력직 채용,~ 05/20(토),서울
(주)미라벨소프트,[정규직] 신입 UI 디자이너를 모십니다,~ 05/13(토),서울
(주)에스피컴,2023 상반기 SPCOM  제약 세미나 신입  채용 공고,~ 05/12(금),서울
벡코씨알오(주),2023 상반기 BeccoCRO 임상시험 BD(사업개발) 인재 채용(경력),~ 05/07(일),서울
(주)블루엠텍,(주)블루엠텍 경영지원팀 인사담당자 채용,~ 05/01(월),경기
(주)키메디,[키메디] 모바일 서비스기획 경력직 채용 (경력 5년 이상),~ 05/28(일),서울
(주)드림인사이트,SNS 콘텐츠 기획자 채용 (경력),내일마감,서울
(주)더웨이헬스케어,[더웨이헬스케어] 임상시험 부서 행정 사무보조,~ 05/18(목),서울
(주)미라벨소프트,[정규직/ 경력직] UX/UI 디자이너를 모십니다,~ 05/13(토),서울
(주)더웨이헬스케어,[신입/경력] 제약마케팅(심포지엄 외) 대행 정규직 모집,~ 05/05(금),서울
(주)지놈인사이트테크놀로지,[유망 스타트업] 항암제 브랜드 마케팅 / 양재역 도보 1분,~ 05/17(수),서울
그래디언트바이오컨버전스,기반연구팀 마이크로바이옴 연구원 모집,~ 05/18(목),서울
그래디언트바이오컨버전스,중개연구팀 오가노이드 연구원 모집,~ 05/18(목),서울
커리어커넥트(주),[서울] 우량 코스닥 바이오기업 BD업무 총괄 모집,채용시,서울
인크로스(주),[SK그룹-인크로스] RPA 개발 및 운영(2년 이상),상시채용,서울
그래디언트바이오컨버전스,기반연구팀 마이크로바이옴 연구원 모집,~ 05/18(목),서울
그래디언트바이오컨버전스,중개연구팀 오가노이드 연구원 모집,~ 05/18(목),서울
