"","위암발생","비만발생률","외식률"
"위암_20대",17,41.5,50.7
"위암_30대",208,58.2,48.1
"위암_40대",1140,50.7,44
"위암_50대",3801,48.1,31.9
"위암_60대",5827,44,47
"위암_70대이상",6875,31.9,46.7
